file,label,rms,peak,crest,width,duration_ms,zero_crossings
dataset\clap\clap_0001.npy,clap,0.016069506506299784,0.04461669921875,2.77648222745725,84,1.9047619047619047,29
dataset\clap\clap_0002.npy,clap,0.028704315754590044,0.0726318359375,2.530345490847856,86,1.9501133786848073,30
dataset\clap\clap_0003.npy,clap,0.02508013770108503,0.063812255859375,2.544334350150491,100,2.2675736961451247,36
dataset\clap\clap_0004.npy,clap,0.04624102992134525,0.113555908203125,2.4557391648992364,95,2.1541950113378685,33
dataset\clap\clap_0005.npy,clap,0.04169672707599645,0.11541748046875,2.7680225418745725,84,1.9047619047619047,74
dataset\clap\clap_0006.npy,clap,0.05386111942107429,0.17132568359375,3.180878627017827,49,1.1111111111111112,68
dataset\clap\clap_0007.npy,clap,0.03594289782681409,0.0972900390625,2.7067945253406855,84,1.9047619047619047,74
dataset\clap\clap_0008.npy,clap,0.03919703596359111,0.09649658203125,2.46183364785242,105,2.380952380952381,42
dataset\clap\clap_0009.npy,clap,0.03562069662020653,0.081756591796875,2.295199127310076,129,2.925170068027211,33
dataset\clap\clap_0010.npy,clap,0.06143672722533169,0.16204833984375,2.6376460329568787,84,1.9047619047619047,28
dataset\clap\clap_0011.npy,clap,0.039781181036313513,0.09869384765625,2.480917988989798,103,2.3356009070294785,28
dataset\clap\clap_0012.npy,clap,0.07374041988356075,0.26800537109375,3.6344432472305126,37,0.8390022675736961,44
dataset\clap\clap_0013.npy,clap,0.056869143669532246,0.133331298828125,2.3445279852096226,120,2.7210884353741496,34
dataset\clap\clap_0014.npy,clap,0.04180887303908707,0.128021240234375,3.06205910201617,54,1.2244897959183674,39
dataset\clap\clap_0015.npy,clap,0.04834817690759731,0.1357421875,2.807596815065633,64,1.4512471655328798,45
dataset\clap\clap_0016.npy,clap,0.042046098030348686,0.10479736328125,2.492439683834817,108,2.4489795918367347,34
dataset\clap\clap_0017.npy,clap,0.058060072208799295,0.1514892578125,2.6091813538864503,110,2.494331065759637,34
dataset\clap\clap_0018.npy,clap,0.07926222399010364,0.23907470703125,3.0162503017969806,61,1.383219954648526,42
dataset\clap\clap_0019.npy,clap,0.08352494457458495,0.296234130859375,3.5466546235759298,31,0.7029478458049887,31
dataset\clap\clap_0020.npy,clap,0.09906548827124854,0.37786865234375,3.814331902439304,36,0.8163265306122449,43
dataset\clap\clap_0021.npy,clap,0.03797657471048648,0.120361328125,3.1693571377242877,55,1.2471655328798186,35
dataset\clap\clap_0022.npy,clap,0.05431042522988009,0.129638671875,2.386994234095527,132,2.993197278911565,20
dataset\clap\clap_0021.npy,clap,0.017566472807557115,0.038665771484375,2.20111185142079,151,3.4240362811791383,30
